NO,站名,河系,行政區域,建置日期,管理單位,X坐標,Y坐標
1,林森,新生大排,中山區,19870601,抽管科東區管理所,303656.66,2770986
2,長安,新生大排,中山區,20010701,抽管科東區管理所,303193.58,2771713.95
3,長春,新生大排,中山區,19791201,抽管科東區管理所,303233.43,2771784.95
4,民生,新生大排,中山區,19980301,抽管科東區管理所,303200.93,2772354.67
5,民權,新生大排,中山區,20050901,抽管科東區管理所,303243.28,2772394.35
6,錦州,新生大排,中山區,19870101,抽管科東區管理所,303249.76,2772694.18
7,圓山,新生大排,中山區,20001201,抽管科東區管理所,303204.13,2773794.62
8,濱江,基隆河,中山區,19980501,抽管科東區管理所,305454.51,2773945.57
9,中山,基隆河,中山區,20010501,抽管科東區管理所,303886.32,2774081.45
10,建國,基隆河,中山區,19821101,抽管科東區管理所,303357.64,2773912.6
11,新生,基隆河,中山區,19990501,抽管科東區管理所,303302.87,2773887.81
12,劍潭,基隆河,士林區,20030401,抽管科北區管理所,302281.83,2774888.89
13,芝山,雙溪,士林區,19820501,抽管科北區管理所,303270.83,2777090.69
14,文昌,雙溪,士林區,19820501,抽管科北區管理所,302413.79,2776980.65
15,福林,雙溪,士林區,19820501,抽管科北區管理所,303065.64,2777251.16
16,士林,基隆河,士林區,19920101,抽管科北區管理所,301564.42,2776519.17
17,大龍,基隆河,士林區,20010101,抽管科南區管理所,302068.59,2774597.16
18,福德,雙溪,士林區,19950501,抽管科北區管理所,303341.82,2776890.84
19,東華,磺溪,北投區,19870601,抽管科北區管理所,302667.44,2778056.17
20,奇岩,磺港溪,北投區,19910301,抽管科北區管理所,300754.27,2779628.53
21,萬芳,景美溪,文山區,19920301,抽管科南區管理所,307699.74,2765374.62
22,埤腹,景美溪,文山區,19840601,抽管科南區管理所,305061.42,2764395.21
23,中港,景美溪,文山區,20050901,抽管科南區管理所,305865.58,2764411.78
24,實踐,景美溪,文山區,20050901,抽管科南區管理所,305954.75,2764056.53
25,保儀,景美溪,文山區,20010701,抽管科南區管理所,305909.51,2763711.38
26,松山,基隆河,松山區,19980201,抽管科東區管理所,307525.17,2771933.88
27,道南,景美溪,文山區,19870101,抽管科南區管理所,307870.53,2764567.08
28,南京,基隆河,松山區,19900501,抽管科東區管理所,307742.9,2771519.04
29,撫遠,基隆河,松山區,19920601,抽管科東區管理所,307383.62,2772802.85
30,景美,新店溪,文山區,20041201,抽管科南區管理所,303946.17,2766923.45
31,古亭,新店溪,中正區,19880101,抽管科南區管理所,302790.71,2768105.06
32,雙園,新店溪,萬華區,19981201,抽管科南區管理所,299328.75,2769244.03
33,貴陽,淡水河,萬華區,19960301,抽管科南區管理所,300393.75,2770483.71
34,忠孝,淡水河,萬華區,20051001,抽管科南區管理所,301091.18,2771408.03
35,六館,淡水河,大同區,20000601,抽管科南區管理所,301270.34,2772224.72
36,迪化,淡水河,士林區,20050401,抽管科南區管理所,301221.46,2774763.27
37,社子,基隆河,大同區,20050401,抽管科南區管理所,301301.6,2776157.23
38,玉成,基隆河,南港區,20030101,抽管科東區管理所,308776.57,2771701.9
39,成美,基隆河,內湖區,19941001,抽管科北區管理所,308868.81,2772051.08
40,成功,基隆河,南港區,19960801,抽管科東區管理所,310152.63,2772420.4
41,長壽,基隆河,內湖區,19991001,抽管科北區管理所,310161.31,2772660.67
42,南湖,基隆河,內湖區,19960801,抽管科北區管理所,311624.67,2772955.56
43,大直,基隆河,中山區,20030201,抽管科北區管理所,305216.6,2774481.29
44,新民權,基隆河,內湖區,19990101,抽管科北區管理所,307850.29,2772648.64
45,港漧,基隆河,內湖區,19951201,抽管科北區管理所,307791.34,2774151.53
46,環山,基隆河,中山區,19960301,抽管科北區管理所,306768.39,2774393.21
47,北安,基隆河,中山區,19960201,抽管科北區管理所,306070.58,2774511.85
