站名,年月,單日雨量,經度,緯度
湖田國小,20231,6.5,121.53895,25.168698
大屯國小,20231,0,121.50408,25.155133
桃源國中,20231,0,121.476976,25.134551
北投國小,20231,0,121.499824,25.133619
陽明高中,20231,0,121.516857,25.09266
太平國小,20231,0,121.511831,25.061093
民生國中,20231,0,121.56656,25.060044
中正國中,20231,0,121.522218,25.031927
三興國小,20231,1.5,121.558264,25.029317
格致國中,20231,0,121.545783,25.131378
平等國小,20231,2.5,121.57665,25.129446
至善國中,20231,0,121.556005,25.103701
碧湖國小,20231,1,121.591445,25.084736
東湖國小,20231,2.5,121.616621,25.069307
留公國中,20231,3,121.585566,25.037355
舊莊國小,20231,5,121.619889,25.039778
市政中心,20231,2,121.564625,25.037184
博嘉國小,20231,0.5,121.498825,25.028118
北政國中,20231,1,121.575444,25.002378
長安國小,20231,0,121.577678,24.984611
富德公墓,20231,3,121.530589,25.0492
萬華國中,20231,0,121.580111,25.011694
永建國小,20231,1,121.555,24.988
五常國小,20231,0,121.542194,25.064001
潭美國小,20231,1,121.581219,25.058997
仁愛國小,20231,1,121.551971,25.036236
興華國小,20231,1,121.559363,25.000094
台灣大學(新),20231,1,121.53893,25.014461
望星橋,20231,0,121.542652,25.096993
白馬山莊,20231,4,121.623235,25.077161
中和橋,20231,0,121.501944,25.138975
磺溪橋,20231,0,121.524257,25.118654
宜興橋,20231,4,121.620338,25.041981
雙溪,20231,1,121.569646,25.113829
湖田國小,20232,1.5,121.53895,25.168698
大屯國小,20232,0,121.50408,25.155133
桃源國中,20232,0,121.476976,25.134551
北投國小,20232,0,121.499824,25.133619
陽明高中,20232,0,121.516857,25.09266
太平國小,20232,0,121.511831,25.061093
民生國中,20232,0,121.56656,25.060044
中正國中,20232,0,121.522218,25.031927
三興國小,20232,0,121.558264,25.029317
格致國中,20232,0,121.545783,25.131378
平等國小,20232,2.5,121.57665,25.129446
至善國中,20232,0,121.556005,25.103701
碧湖國小,20232,0,121.591445,25.084736
東湖國小,20232,0,121.616621,25.069307
?公國中,20232,0,121.585566,25.037355
舊莊國小,20232,0,121.619889,25.039778
市政中心,20232,0,121.564625,25.037184
博嘉國小,20232,0,121.498825,25.028118
北政國中,20232,0,121.575444,25.002378
長安國小,20232,0,121.577678,24.984611
富德公墓,20232,0.5,121.530589,25.0492
萬華國中,20232,0,121.580111,25.011694
永建國小,20232,0,121.555,24.988
五常國小,20232,0,121.542194,25.064001
潭美國小,20232,0,121.581219,25.058997
仁愛國小,20232,0,121.551971,25.036236
興華國小,20232,0,121.559363,25.000094
台灣大學(新),20232,0,121.53893,25.014461
望星橋,20232,0,121.542652,25.096993
白馬山莊,20232,0.5,121.623235,25.077161
中和橋,20232,0,121.501944,25.138975
磺溪橋,20232,0,121.524257,25.118654
宜興橋,20232,0,121.620338,25.041981
雙溪,20232,0,121.569646,25.113829
湖田國小,20233,0,121.53895,25.168698
大屯國小,20233,0,121.50408,25.155133
桃源國中,20233,0,121.476976,25.134551
北投國小,20233,0,121.499824,25.133619
陽明高中,20233,0,121.516857,25.09266
太平國小,20233,0,121.511831,25.061093
民生國中,20233,0,121.56656,25.060044
中正國中,20233,0,121.522218,25.031927
三興國小,20233,0,121.558264,25.029317
格致國中,20233,0,121.545783,25.131378
平等國小,20233,0,121.57665,25.129446
至善國中,20233,0,121.556005,25.103701
碧湖國小,20233,0,121.591445,25.084736
東湖國小,20233,0,121.616621,25.069307
留公國中,20233,0,121.585566,25.037355
舊莊國小,20233,0,121.619889,25.039778
市政中心,20233,0,121.564625,25.037184
博嘉國小,20233,0,121.498825,25.028118
北政國中,20233,0,121.575444,25.002378
長安國小,20233,0,121.577678,24.984611
富德公墓,20233,0,121.530589,25.0492
萬華國中,20233,0,121.580111,25.011694
永建國小,20233,0,121.555,24.988
五常國小,20233,0,121.542194,25.064001
潭美國小,20233,0,121.581219,25.058997
仁愛國小,20233,0,121.551971,25.036236
興華國小,20233,0,121.559363,25.000094
台灣大學(新),20233,0,121.53893,25.014461
望星橋,20233,0,121.542652,25.096993
白馬山莊,20233,0,121.623235,25.077161
中和橋,20233,0,121.501944,25.138975
磺溪橋,20233,0,121.524257,25.118654
雙溪,20233,0,121.569646,25.113829
湖田國小,20234,0,121.53895,25.168698
大屯國小,20234,0,121.50408,25.155133
桃源國中,20234,0,121.476976,25.134551
北投國小,20234,0,121.499824,25.133619
陽明高中,20234,0,121.516857,25.09266
太平國小,20234,0,121.511831,25.061093
民生國中,20234,0,121.56656,25.060044
中正國中,20234,0,121.522218,25.031927
三興國小,20234,0,121.558264,25.029317
格致國中,20234,0,121.545783,25.131378
平等國小,20234,0,121.57665,25.129446
至善國中,20234,0,121.556005,25.103701
碧湖國小,20234,0,121.591445,25.084736
東湖國小,20234,0,121.616621,25.069307
留公國中,20234,0,121.585566,25.037355
舊莊國小,20234,0,121.619889,25.039778
市政中心,20234,0,121.564625,25.037184
博嘉國小,20234,0,121.498825,25.028118
北政國中,20234,0,121.575444,25.002378
長安國小,20234,0,121.577678,24.984611
富德公墓,20234,0,121.530589,25.0492
萬華國中,20234,0,121.580111,25.011694
永建國小,20234,0,121.555,24.988
五常國小,20234,0,121.542194,25.064001
潭美國小,20234,0,121.581219,25.058997
仁愛國小,20234,0,121.551971,25.036236
興華國小,20234,0,121.559363,25.000094
台灣大學(新),20234,0,121.53893,25.014461
望星橋,20234,0,121.542652,25.096993
白馬山莊,20234,0,121.623235,25.077161
中和橋,20234,0,121.501944,25.138975
磺溪橋,20234,0,121.524257,25.118654
雙溪,20234,0,121.569646,25.113829
湖田國小,20235,0,121.53895,25.168698
